client_id,age,gender,employment_status,annual_income,debt_to_income_ratio,financial_knowledge_score,investment_goals,risk_appetite,investment_horizon_years,dependents,preferred_asset_classes,savings_rate,net_worth,portfolio_value,equity_allocation_pct,fixed_income_allocation_pct,monthly_contribution,market_volatility_index,macroeconomic_score,sentiment_index,recommended_strategy
96c4c0a3-bb3f-4ac1-81ad-0850cd29911f,63,Other,Salaried,61244.14,0.49,5,Retirement,Medium,9,1,"['Bonds', 'Real Estate']",0.09,150946.53,108773.2125,45.71,54.29,1229.336388888889,20.041666666666668,5.444722222222222,5.71,Conservative
35fb4c11-fb1a-4eeb-addc-bd6ff6cb7934,43,Male,Salaried,111338.35,0.39,1,Home Purchase,Low,19,3,"['Stocks', 'Bonds']",0.29,1072347.37,114610.76388888889,49.78583333333333,50.21416666666667,1163.5955555555556,21.25611111111111,5.697500000000001,5.478055555555556,Conservative
e5aafbe0-c869-41d9-acf1-1b019363e449,56,Other,Salaried,27581.32,0.12,5,Wealth Accumulation,Medium,13,3,"['Real Estate', 'ETFs']",0.07,177370.9,121136.46055555556,53.64805555555555,46.35194444444445,1280.783888888889,19.098055555555554,5.411944444444445,5.429444444444445,Conservative
43b978dd-4dd5-4f21-96d2-63ab16c814a3,37,Other,Retired,64813.5,0.44,4,Retirement,Medium,3,2,"['Bonds', 'ETFs']",0.22,523811.23,89233.55416666667,53.36666666666667,46.63333333333333,1213.4747222222222,19.959166666666665,5.348333333333333,5.241388888888888,Balanced
abe77866-df1b-4a5c-ad96-eb78dff4ffc9,42,Male,Self-Employed,108668.65,0.35,2,Education,Low,19,0,"['ETFs', 'Stocks']",0.21,938672.67,48541.822222222225,51.00555555555556,48.99444444444444,1178.9947222222222,20.458055555555557,6.246388888888889,5.420277777777778,Balanced
773e1579-3d8a-4a53-a86e-06c4ab14bf22,51,Female,Retired,85010.3,0.59,1,Retirement,Medium,10,2,"['Real Estate', 'Stocks']",0.14,176190.58,105384.05722222223,52.484722222222224,47.515277777777776,1187.4805555555556,20.560555555555556,5.46,5.477777777777778,Aggressive
366c572f-2cc1-48ba-b3fe-e11f49ca6c50,52,Female,Salaried,79347.7,0.37,4,Education,High,20,1,"['Real Estate', 'Mutual Funds']",0.06,495872.04,120532.54222222221,51.28055555555555,48.71944444444445,1189.3608333333332,19.336666666666666,5.840277777777778,5.565555555555556,Balanced
f0cbfe61-064c-42ec-a27b-056996c182a3,58,Other,Salaried,67272.09,0.13,4,Retirement,Medium,3,2,"['Mutual Funds', 'Stocks']",0.12,328361.21,43205.96277777778,52.8025,47.197500000000005,1246.0983333333334,18.930833333333332,5.367222222222222,5.6113888888888885,Aggressive
4cfe27eb-7d5b-4d61-9be8-40e91f04b2f5,64,Male,Unemployed,81125.46,0.43,9,Education,Medium,12,0,"['Mutual Funds', 'Bonds']",0.23,562027.74,52752.37861111111,47.216388888888886,52.783611111111114,1349.2644444444443,21.22722222222222,5.232777777777778,5.401666666666667,Balanced
2eef3ba0-a7c7-42b1-a3ac-3c33aedcb5f2,53,Male,Retired,83144.91,0.25,6,Retirement,Medium,20,1,"['Bonds', 'Real Estate']",0.23,375382.71,76696.85833333334,49.09361111111111,50.90638888888889,1215.085,19.125,5.352222222222222,5.9494444444444445,Conservative
feee5b03-437c-47e7-ba44-8dc58bd961ad,55,Female,Retired,108395.14,0.13,5,Wealth Accumulation,Medium,24,2,"['Stocks', 'Bonds']",0.16,800360.77,59572.7775,50.465555555555554,49.534444444444446,1299.9463888888888,18.788888888888888,5.796666666666667,5.388333333333333,Aggressive
e851f024-4212-4fb7-974e-3595ca932bc0,35,Female,Unemployed,30773.1,0.24,1,Education,Low,17,0,"['Real Estate', 'Mutual Funds']",0.05,187378.42,36387.31333333333,47.35777777777778,52.64222222222222,1205.8577777777778,18.64611111111111,5.456388888888889,5.385000000000001,Conservative
bf22d180-8d4e-41aa-a662-c209939a7824,53,Female,Unemployed,131418.78,0.15,3,Home Purchase,Low,5,0,"['Bonds', 'Real Estate']",0.16,552534.95,88873.90805555556,46.60277777777778,53.39722222222222,1238.7552777777778,19.546944444444442,5.655277777777778,5.580555555555556,Balanced
c057db2b-b8cc-4627-a552-a0be634ebe9a,30,Other,Retired,111376.51,0.26,4,Home Purchase,High,29,3,"['ETFs', 'Mutual Funds']",0.05,377861.9,42533.828055555554,53.00833333333333,46.99166666666667,1351.0825,20.619166666666665,5.625,5.630277777777778,Conservative
da7ab453-9f00-4b15-bc5c-2cee2f69eda2,27,Male,Unemployed,43642.53,0.13,4,Retirement,Medium,29,3,"['Stocks', 'Bonds']",0.23,316575.75,97905.35388888889,50.8775,49.1225,1201.2030555555555,19.568055555555556,5.978888888888889,5.791666666666667,Balanced
c016931a-2824-4ebd-8945-608c16137087,63,Other,Unemployed,101297.38,0.28,4,Retirement,Medium,15,3,"['Real Estate', 'ETFs']",0.29,340452.73,114896.6475,54.6125,45.3875,1343.1083333333333,20.351666666666667,5.28,5.651388888888889,Balanced
d2e9c309-35a3-40b7-9ccb-6ae2e038a377,39,Other,Salaried,44774.14,0.16,5,Retirement,Medium,8,0,"['Real Estate', 'Mutual Funds']",0.06,167601.68,29076.975555555557,47.668055555555554,52.331944444444446,1102.4627777777778,19.57638888888889,5.504722222222222,5.510555555555555,Balanced
a6959c14-afe2-445a-b741-1372f72a18b1,60,Female,Salaried,51062.37,0.3,2,Education,Medium,7,1,"['ETFs', 'Stocks']",0.06,262219.8,96438.28888888888,50.16027777777778,49.83972222222222,1160.14,18.535833333333333,5.722777777777778,6.015555555555555,Aggressive
9a54770b-3231-4732-908b-c0a6783425af,52,Other,Retired,29326.79,0.51,3,Wealth Accumulation,Medium,3,3,"['Stocks', 'Mutual Funds']",0.09,72989.61,71682.80944444444,49.221666666666664,50.778333333333336,1041.5297222222223,20.373055555555553,5.464166666666667,5.273611111111111,Aggressive
5b63951e-cd39-4d24-8107-37b96872826a,37,Other,Self-Employed,49919.65,0.4,7,Wealth Accumulation,Medium,17,0,"['Bonds', 'Stocks']",0.21,179237.13,59244.446111111116,45.65611111111111,54.34388888888889,1278.7755555555555,19.791666666666668,5.192222222222222,5.118611111111111,Balanced
1bf91aa3-9c2d-44c8-bffa-2f36a98fc2b9,26,Female,Salaried,80058.17,0.47,1,Retirement,High,9,0,"['Mutual Funds', 'Bonds']",0.16,749787.29,60710.54888888888,55.89833333333333,44.10166666666666,1174.33,19.968333333333334,4.946666666666667,5.160277777777778,Conservative
386de91b-3783-451d-b25a-da29302dd1db,25,Other,Salaried,89285.21,0.13,10,Retirement,Medium,24,3,"['Stocks', 'Bonds']",0.15,595297.72,76659.15,49.46361111111111,50.53638888888889,1273.4833333333333,18.166944444444443,5.5775,5.285277777777778,Conservative
30ebae4a-ef30-4c77-96ae-e7f0fabc6ed2,59,Female,Self-Employed,47534.49,0.57,4,Education,Medium,23,0,"['Real Estate', 'ETFs']",0.1,333679.91,114560.8675,42.71944444444445,57.28055555555555,1114.903611111111,18.97361111111111,5.730833333333333,5.590277777777778,Aggressive
c5acd8d9-f563-4809-bafa-c614a9fa86b7,62,Other,Self-Employed,59939.96,0.48,7,Education,Medium,20,1,"['Mutual Funds', 'ETFs']",0.16,396344.59,122563.31583333334,48.07361111111111,51.92638888888889,1324.2008333333333,18.79111111111111,5.46,5.239444444444445,Aggressive
e3c4c565-3017-46cf-adb3-1a2d33fd278f,25,Female,Salaried,75621.71,0.27,3,Wealth Accumulation,Low,8,0,"['Mutual Funds', 'Stocks']",0.13,621243.69,38396.726388888885,43.73305555555556,56.26694444444444,1172.6555555555556,19.612222222222222,5.235555555555555,5.4238888888888885,Balanced
df05a695-db52-4b55-9e75-1b62e5dbac22,36,Male,Self-Employed,55083.54,0.42,6,Retirement,Low,21,2,"['Stocks', 'Bonds']",0.16,176018.9,118655.84277777777,54.48972222222223,45.51027777777777,1365.6055555555556,18.721944444444446,5.381111111111111,5.167222222222223,Conservative
85c545f0-8da4-4aae-9ea4-5635c726f05c,46,Male,Retired,79671.49,0.5,8,Retirement,Medium,4,2,"['Mutual Funds', 'ETFs']",0.24,234556.71,100908.2725,51.43833333333333,48.56166666666667,1247.2302777777777,19.508611111111108,5.641666666666667,5.154444444444445,Conservative
b6cfccc1-522d-488b-a6c8-8b71f79d49fa,63,Male,Unemployed,109060.05,0.24,2,Wealth Accumulation,Medium,24,1,"['ETFs', 'Bonds']",0.21,852647.59,94676.4175,47.37444444444444,52.62555555555556,1401.7527777777777,19.398333333333333,5.6575,5.4816666666666665,Conservative
b82e27fc-1a0a-4538-ac9f-b8722d9da39a,32,Other,Unemployed,60640.44,0.3,6,Education,Medium,5,1,"['ETFs', 'Stocks']",0.24,593155.07,58730.69027777778,49.06194444444444,50.93805555555556,1241.538611111111,19.647499999999997,5.420277777777778,5.852777777777778,Balanced
95ac0266-c2e3-4441-8ca5-0bf08e384c15,53,Other,Salaried,45454.04,0.41,9,Retirement,Medium,10,2,"['Mutual Funds', 'Stocks']",0.21,117055.69,111458.2863888889,52.05388888888889,47.94611111111111,1094.8000000000002,20.518055555555556,5.4430555555555555,5.464444444444444,Conservative
b3531135-01fe-4721-b9c3-3cfa49c70402,42,Male,Unemployed,42882.66,0.58,5,Wealth Accumulation,Medium,16,3,"['Mutual Funds', 'ETFs']",0.3,151362.24,62315.19361111111,53.78,46.22,1366.4877777777776,19.080277777777777,5.4,5.504722222222223,Conservative
a54de3a4-3038-4288-8f21-cffd9e8fcdb7,36,Male,Unemployed,61603.0,0.39,9,Retirement,Low,29,0,"['Real Estate', 'Stocks']",0.06,162981.06,130379.91694444444,47.216944444444444,52.783055555555556,1359.5644444444445,18.48888888888889,5.738611111111111,5.732777777777778,Aggressive
aa628119-00fe-4038-97e3-5dc214371deb,59,Male,Self-Employed,38827.47,0.25,8,Home Purchase,Medium,10,3,"['Bonds', 'ETFs']",0.12,305386.76,44821.16277777778,52.99472222222222,47.00527777777778,1324.3763888888889,20.74361111111111,5.371944444444445,5.441944444444444,Aggressive
c210f73b-ee0d-4ac9-ad34-07e8c77f390f,55,Male,Unemployed,109840.72,0.46,2,Retirement,High,14,2,"['Mutual Funds', 'ETFs']",0.06,415716.39,34219.93166666667,51.477222222222224,48.522777777777776,1185.4922222222222,19.656388888888888,5.310555555555556,5.396111111111111,Conservative
